epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.750351821051703,0.007713884992987377,4.544117629528046,0.023809523809523808,0.0002
2,4.496696090698242,0.03155680224403927,4.281475126743317,0.051587301587301584,0.0002
3,4.269257015652126,0.037868162692847124,4.0994409918785095,0.06746031746031746,0.0002
4,4.119874450895521,0.07784011220196353,3.9519639015197754,0.12698412698412698,0.0002
5,4.007595353656345,0.10308555399719495,3.8504034280776978,0.16666666666666666,0.0002
6,3.893094942304823,0.1402524544179523,3.764545112848282,0.1746031746031746,0.0002
7,3.8109640651279024,0.15497896213183732,3.6914694011211395,0.21825396825396826,0.0002
8,3.7194175614251033,0.18723702664796635,3.604324370622635,0.24206349206349206,0.0002
9,3.644885285695394,0.20967741935483872,3.535793364048004,0.24603174603174602,0.0002
10,3.5671342002020943,0.2370266479663394,3.4594791531562805,0.29365079365079366,0.0002
11,3.512222146987915,0.25105189340813466,3.417548805475235,0.2777777777777778,0.0002
12,3.42854815059238,0.2664796633941094,3.3429199159145355,0.2976190476190476,0.0002
13,3.382471693886651,0.28190743338008417,3.279583692550659,0.3333333333333333,0.0002
14,3.303605471716987,0.29312762973352036,3.2018463015556335,0.3134920634920635,0.0002
15,3.270678737428453,0.3015427769985975,3.1021293699741364,0.3373015873015873,0.0002
16,3.1629676924811467,0.3064516129032258,2.988825500011444,0.38095238095238093,0.0002
17,3.039642916785346,0.33520336605890605,2.859383463859558,0.4087301587301587,0.0002
18,2.9240685251024034,0.37727910238429174,2.738916724920273,0.4365079365079365,0.0002
19,2.8243561585744223,0.3870967741935484,2.670161187648773,0.48412698412698413,0.0002
20,2.72070304552714,0.4474053295932679,2.5290811359882355,0.5277777777777778,0.0002
21,2.6286143514845106,0.4747545582047686,2.5201792418956757,0.4603174603174603,0.0002
22,2.5239893171522354,0.5049088359046283,2.365652471780777,0.5833333333333334,0.0002
23,2.4858080281151667,0.5224403927068724,2.3363693356513977,0.6071428571428571,0.0002
24,2.4081406593322754,0.5518934081346424,2.208175629377365,0.6825396825396826,0.0002
25,2.351446787516276,0.561711079943899,2.162015438079834,0.6706349206349206,0.0002
26,2.3060187233818903,0.5897615708274895,2.0871056616306305,0.6944444444444444,0.0002
27,2.261406660079956,0.5974754558204769,2.0789868980646133,0.6547619047619048,0.0002
28,2.1822647041744654,0.6367461430575035,1.9990645796060562,0.6865079365079365,0.0002
29,2.1646096494462754,0.6185133239831697,1.9845688790082932,0.7341269841269841,0.0002
30,2.1051548189587064,0.6683029453015428,1.8928918540477753,0.7341269841269841,0.0002
31,2.1083827124701604,0.6563814866760168,1.8907859325408936,0.7698412698412699,0.0002
32,2.058787208133274,0.6788218793828892,1.8117344230413437,0.7817460317460317,0.0002
33,2.0019760290781656,0.6746143057503506,1.7700700461864471,0.753968253968254,0.0002
34,1.9353798707326253,0.6977559607293128,1.7877040952444077,0.746031746031746,0.0002
35,1.8641425689061484,0.7363253856942497,1.6215408891439438,0.8134920634920635,0.0002
